Val.,Measure,Val.,Measure,Val.,Measure
0,1,35,10 million,70,100 trillion
1,1.5,36,15 million,71,150 trillion
2,2.5,37,25 million,72,250 trillion
3,3.5,38,40 million,73,400 trillion
4,5,39,60 million,74,600 trillion
5,10,40,100 million,75,1 quadrillion
6,15,41,150 million,76,1.5 quadrillion
7,25,42,250 million,77,2.5 quadrillion
8,40,43,400 million,78,4 quadrillion
9,60,44,600 million,79,6 quadrillion
10,100,45,1 billion,80,10 quadrillion
11,150,46,1.5 billion,81,15 quadrillion
12,250,47,2.5 billion,82,25 quadrillion
13,400,48,4 billion,83,40 quadrillion
14,600,49,6 billion,84,60 quadrillion
15,1000,50,10 billion,85,100 quadrillion
16,1500,51,15 billion,86,150 quadrillion
17,2500,52,25 billion,87,250 quadrillion
18,4000,53,40 billion,88,400 quadrillion
19,6000,54,60 billion,89,600 quadrillion
20,10000,55,100 billion,90,1 quintillion
21,15000,56,150 billion,91,1.5 quintillion
22,25000,57,250 billion,92,2.5 quintillion
23,40000,58,400 billion,93,4 quintillion
24,60000,59,600 billion,94,6 quintillion
25,100000,60,1 trillion,95,10 quintillion
26,150000,61,1.5 trillion,96,15 quintillion
27,250000,62,2.5 trillion,97,25 quintillion
28,400000,63,4 trillion,98,40 quintillion
29,600000,64,6 trillion,99,60 quintillion
30,1 million,65,10 trillion,100,100 quintillion
31,1.5 million,66,15 trillion,,
32,2.5 million,67,25 trillion,,
33,4 million,68,40 trillion,,
34,6 million,69,60 trillion,,
